Epoch,Train_Loss,Val_Loss,Val_mIoU,Val_Pixel_Acc,mAcc
1,5.472616016028639,N/A,N/A,N/A,
2,4.556133213406335,N/A,N/A,N/A,
3,3.421110137908874,N/A,N/A,N/A,
4,2.9995212306479413,N/A,N/A,N/A,
5,2.799308017642799,2.4460129147378082,28.176910400390625,65.90287780761719,39.36442184448242
6,2.656559804876247,N/A,N/A,N/A,
7,2.549652955336179,N/A,N/A,N/A,
8,2.4541669658764094,N/A,N/A,N/A,
9,2.39927395455584,N/A,N/A,N/A,
10,2.3397179440649336,2.114365296386113,35.56793212890625,72.07089233398438,50.50457763671875
11,2.2724536631054773,N/A,N/A,N/A,
12,2.2357941736916978,N/A,N/A,N/A,
13,2.1743204091976067,N/A,N/A,N/A,
14,2.1677895297029455,N/A,N/A,N/A,
15,2.147151497896305,2.0232953256535753,38.48738479614258,73.5998764038086,53.923343658447266
16,2.1129753133338056,N/A,N/A,N/A,
17,2.084777930934348,N/A,N/A,N/A,
18,2.064091640627217,N/A,N/A,N/A,
19,2.0638640414258997,N/A,N/A,N/A,
20,2.0324906280379973,2.0150222516505516,39.36436080932617,73.18639373779297,55.619728088378906
21,2.0145674544967007,N/A,N/A,N/A,
22,2.0038170895738925,N/A,N/A,N/A,
23,1.9879237841030877,N/A,N/A,N/A,
24,1.9440339927921793,N/A,N/A,N/A,
25,1.9507337942390977,2.0247685647456444,40.024715423583984,73.36334991455078,55.065040588378906
26,1.911777767724169,N/A,N/A,N/A,
27,1.889379346776821,N/A,N/A,N/A,
28,1.890865212690854,N/A,N/A,N/A,
29,1.8669994720715082,N/A,N/A,N/A,
30,1.889421023443371,1.9574643523893624,41.713600158691406,75.63652038574219,57.46154022216797
31,1.875804553528826,N/A,N/A,N/A,
32,1.8601027829852514,N/A,N/A,N/A,
33,1.830423383292311,N/A,N/A,N/A,
34,1.8259828238783475,N/A,N/A,N/A,
35,1.8121760696590783,1.9727207299704863,42.615089416503906,76.31011962890625,57.560997009277344
36,1.8175911341974873,N/A,N/A,N/A,
37,1.7868808097017552,N/A,N/A,N/A,
38,1.7902824233672423,N/A,N/A,N/A,
39,1.7795730059992574,N/A,N/A,N/A,
40,1.7601256654831117,1.9557566687325452,42.914276123046875,75.68998718261719,59.010040283203125
41,1.7510422905365786,N/A,N/A,N/A,
42,1.7470405995248555,N/A,N/A,N/A,
43,1.7206976506896392,N/A,N/A,N/A,
44,1.730473574273333,N/A,N/A,N/A,
45,1.7222606729648873,1.953009412110409,43.73345184326172,77.13656616210938,57.966041564941406
46,1.6930658432668102,N/A,N/A,N/A,
47,1.6884313279497838,N/A,N/A,N/A,
48,1.6875718447392833,N/A,N/A,N/A,
49,1.6860281119126834,N/A,N/A,N/A,
50,1.6699209719717145,1.9783012465895893,43.63983917236328,77.22115325927734,58.38425064086914
51,1.6497684186828399,N/A,N/A,N/A,
52,1.6410267503562577,N/A,N/A,N/A,
53,1.6609209873872195,N/A,N/A,N/A,
54,1.6400181606919588,N/A,N/A,N/A,
55,1.6273161880000082,1.9512855009497883,44.50288772583008,77.77014923095703,58.883880615234375
56,1.62699799977228,N/A,N/A,N/A,
57,1.597057791654476,N/A,N/A,N/A,
58,1.603730784867235,N/A,N/A,N/A,
59,1.5989050468605364,N/A,N/A,N/A,
60,1.5869938899615486,1.9582573927451516,43.496559143066406,76.47496032714844,59.62343978881836
61,1.5985905837439345,N/A,N/A,N/A,
62,1.580789416252014,N/A,N/A,N/A,
63,1.5758742473885148,N/A,N/A,N/A,
64,1.57194507504274,N/A,N/A,N/A,
65,1.5637130008670754,1.9711077152011551,44.328941345214844,77.42228698730469,59.66973114013672
66,1.5727073943208836,N/A,N/A,N/A,
67,1.544429090075598,N/A,N/A,N/A,
68,1.5334961712957622,N/A,N/A,N/A,
69,1.537049497535568,N/A,N/A,N/A,
70,1.5258609233256093,1.9909707408085047,44.28327560424805,76.67436218261719,59.9766731262207
71,1.5335941529704,N/A,N/A,N/A,
72,1.5205327525645316,N/A,N/A,N/A,
73,1.5244738057046712,N/A,N/A,N/A,
74,1.5190089611347788,N/A,N/A,N/A,
75,1.5192263816783806,1.9813958969071648,44.77033996582031,77.23409271240234,60.2543830871582
76,1.5015764095501336,N/A,N/A,N/A,
77,1.4860466248047854,N/A,N/A,N/A,
78,1.4669794028173229,N/A,N/A,N/A,
79,1.4746277998826787,N/A,N/A,N/A,
80,1.4848749881278058,1.9827067138992738,44.87569046020508,77.17671203613281,60.151100158691406
81,1.483486233827824,N/A,N/A,N/A,
82,1.475133046836318,N/A,N/A,N/A,
83,1.4583534953111637,N/A,N/A,N/A,
84,1.4554752555782189,N/A,N/A,N/A,
85,1.4580865376936887,1.970432178439381,45.2067756652832,77.73905181884766,60.71773910522461
86,1.4574291328628937,N/A,N/A,N/A,
87,1.4426378964900015,N/A,N/A,N/A,
88,1.438728659329768,N/A,N/A,N/A,
89,1.4470161596137678,N/A,N/A,N/A,
90,1.4348085731685998,2.0266718012150204,44.980804443359375,77.39225769042969,59.79368591308594
91,1.4290242787592398,N/A,N/A,N/A,
92,1.4443613142670992,N/A,N/A,N/A,
93,1.4155637047333804,N/A,N/A,N/A,
94,1.4181996055977617,N/A,N/A,N/A,
95,1.4080454529167894,2.032318122476061,44.60347366333008,76.71520233154297,58.81081771850586
96,1.4127669800259546,N/A,N/A,N/A,
97,1.4113650317182522,N/A,N/A,N/A,
98,1.404101886586818,N/A,N/A,N/A,
99,1.4105572041146501,N/A,N/A,N/A,
100,1.407322385745918,2.0193121867759207,44.586402893066406,77.3396224975586,60.63612747192383
101,1.4109419209206988,N/A,N/A,N/A,
102,1.3970686562792334,N/A,N/A,N/A,
103,1.3808207609849368,N/A,N/A,N/A,
104,1.3800524900814812,N/A,N/A,N/A,
105,1.3838593357789493,2.031567962927239,45.59844207763672,77.89724731445312,59.2819938659668
106,1.3904877953634471,N/A,N/A,N/A,
107,1.3701994371318627,N/A,N/A,N/A,
